,wearable_label_id,x_value,y_value,z_value,timest
2615,1,-66,-76,-33,2019-07-09 08:40:12
2616,1,-179,-308,-106,2019-07-09 08:40:12
2617,1,-179,-308,-106,2019-07-09 08:40:12
2618,1,-179,-308,-106,2019-07-09 08:40:12
2619,1,-190,-518,-66,2019-07-09 08:40:12
2620,1,-190,-518,-66,2019-07-09 08:40:12
2621,1,-84,-504,-5,2019-07-09 08:40:12
2622,1,38,-62,43,2019-07-09 08:40:12
2623,1,-43,-187,72,2019-07-09 08:40:12
2624,1,-59,-425,27,2019-07-09 08:40:13
2625,1,52,-381,12,2019-07-09 08:40:13
2626,1,54,-475,-83,2019-07-09 08:40:13
2627,1,10,-157,-22,2019-07-09 08:40:13
2628,1,-91,-445,-90,2019-07-09 08:40:13
2629,1,246,93,-41,2019-07-09 08:40:13
2630,1,-84,376,-114,2019-07-09 08:40:13
2631,1,-202,455,-140,2019-07-09 08:40:13
2632,1,-253,265,-146,2019-07-09 08:40:13
2633,1,-63,384,-167,2019-07-09 08:40:13
2634,1,-254,-396,-153,2019-07-09 08:40:14
2635,1,-38,-86,-155,2019-07-09 08:40:14
2636,1,-111,-85,-106,2019-07-09 08:40:14
2637,1,-123,-304,-131,2019-07-09 08:40:14
2638,1,-214,-202,-131,2019-07-09 08:40:14
2639,1,-119,-223,-162,2019-07-09 08:40:14
2640,1,-72,-387,-202,2019-07-09 08:40:14
2641,1,-138,-443,-140,2019-07-09 08:40:14
2642,1,-166,-236,-115,2019-07-09 08:40:14
2643,1,-29,-66,-65,2019-07-09 08:40:14
2644,1,-130,5,-52,2019-07-09 08:40:15
2645,1,-106,247,-171,2019-07-09 08:40:15
2646,1,13,178,-223,2019-07-09 08:40:15
2647,1,-49,-104,-137,2019-07-09 08:40:15
2648,1,-72,67,-137,2019-07-09 08:40:15
2649,1,-124,83,-142,2019-07-09 08:40:15
2650,1,-170,302,-126,2019-07-09 08:40:17
2651,1,-148,313,-110,2019-07-09 08:40:17
2652,1,-148,313,-110,2019-07-09 08:40:17
2653,1,-154,255,-107,2019-07-09 08:40:17
2654,1,-154,255,-107,2019-07-09 08:40:17
2655,1,-160,138,-80,2019-07-09 08:40:17
2656,1,-160,138,-80,2019-07-09 08:40:17
2657,1,-160,138,-80,2019-07-09 08:40:17
2658,1,-124,9,-76,2019-07-09 08:40:17
2659,1,-124,9,-76,2019-07-09 08:40:17
2660,1,-99,-97,-73,2019-07-09 08:40:17
2661,1,-99,-97,-73,2019-07-09 08:40:17
2662,1,-131,-140,-64,2019-07-09 08:40:17
2663,1,-131,-140,-64,2019-07-09 08:40:17
2664,1,-73,-159,-79,2019-07-09 08:40:17
2665,1,-73,-159,-79,2019-07-09 08:40:17
2666,1,-103,-105,-107,2019-07-09 08:40:17
2667,1,-103,-105,-107,2019-07-09 08:40:17
2668,1,-103,-105,-107,2019-07-09 08:40:17
2669,1,-158,254,-138,2019-07-09 08:40:17
2670,1,-15,200,-129,2019-07-09 08:40:17
2671,1,-44,131,-111,2019-07-09 08:40:17
2672,1,-94,60,-174,2019-07-09 08:40:17
2673,1,-114,132,-195,2019-07-09 08:40:17
2674,1,-148,467,-184,2019-07-09 08:40:18
2675,1,-50,272,-149,2019-07-09 08:40:18
2676,1,-155,39,-57,2019-07-09 08:40:18
2677,1,-79,127,-142,2019-07-09 08:40:18
2678,1,-23,54,-160,2019-07-09 08:40:18
2679,1,-155,-165,-159,2019-07-09 08:40:18
2680,1,-38,-58,-125,2019-07-09 08:40:18
2681,1,-91,-6,-119,2019-07-09 08:40:18
2682,1,-99,4,-99,2019-07-09 08:40:18
2683,1,-117,86,-91,2019-07-09 08:40:18
2684,1,-123,176,-109,2019-07-09 08:40:19
2685,1,-98,68,-101,2019-07-09 08:40:19
2686,1,-79,68,-100,2019-07-09 08:40:19
2687,1,-147,81,-105,2019-07-09 08:40:19
2688,1,-10,100,-80,2019-07-09 08:40:19
2689,1,-182,-88,-85,2019-07-09 08:40:19
2690,1,-98,-115,-72,2019-07-09 08:40:19
2691,1,-116,-18,-40,2019-07-09 08:40:19
2692,1,-137,59,-96,2019-07-09 08:40:19
2693,1,-134,254,-100,2019-07-09 08:40:19
2694,1,-136,54,-114,2019-07-09 08:40:20
2695,1,-19,-94,-117,2019-07-09 08:40:20
2696,1,-86,-230,-121,2019-07-09 08:40:20
2697,1,-110,-145,-95,2019-07-09 08:40:20
2698,1,-78,-78,-120,2019-07-09 08:40:20
2699,1,-116,-77,-88,2019-07-09 08:40:20
2700,1,-136,-194,-85,2019-07-09 08:40:22
2701,1,-130,-234,-102,2019-07-09 08:40:22
2702,1,-130,-234,-102,2019-07-09 08:40:22
2703,1,-147,-228,-111,2019-07-09 08:40:22
2704,1,-147,-228,-111,2019-07-09 08:40:22
2705,1,-161,-162,-58,2019-07-09 08:40:22
2706,1,-161,-162,-58,2019-07-09 08:40:22
2707,1,-161,-162,-58,2019-07-09 08:40:22
2708,1,-100,-22,-100,2019-07-09 08:40:22
2709,1,-100,-22,-100,2019-07-09 08:40:22
2710,1,-145,154,-160,2019-07-09 08:40:22
2711,1,-145,154,-160,2019-07-09 08:40:22
2712,1,-104,278,-170,2019-07-09 08:40:22
2713,1,-104,278,-170,2019-07-09 08:40:22
2714,1,-59,309,-181,2019-07-09 08:40:22
2715,1,-59,309,-181,2019-07-09 08:40:22
2716,1,-20,275,-145,2019-07-09 08:40:22
2717,1,-20,275,-145,2019-07-09 08:40:22
2718,1,-20,275,-145,2019-07-09 08:40:22
2719,1,-31,106,-154,2019-07-09 08:40:22
2720,1,-31,106,-154,2019-07-09 08:40:22
2721,1,-32,-66,-96,2019-07-09 08:40:22
2722,1,-32,-66,-96,2019-07-09 08:40:22
2723,1,-141,114,-103,2019-07-09 08:40:22
2724,1,-120,-14,-45,2019-07-09 08:40:23
2725,1,-111,-83,-88,2019-07-09 08:40:23
2726,1,-102,-223,-135,2019-07-09 08:40:23
2727,1,-5,41,-104,2019-07-09 08:40:23
2728,1,-193,71,-140,2019-07-09 08:40:23
2729,1,-117,185,-159,2019-07-09 08:40:23
2730,1,-129,175,-79,2019-07-09 08:40:23
2731,1,-78,121,-164,2019-07-09 08:40:23
2732,1,-48,-63,-141,2019-07-09 08:40:23
2733,1,-144,38,-80,2019-07-09 08:40:23
2734,1,-31,32,-117,2019-07-09 08:40:24
2735,1,-107,185,-195,2019-07-09 08:40:24
2736,1,-90,151,-117,2019-07-09 08:40:24
2737,1,-140,32,-89,2019-07-09 08:40:24
2738,1,-48,122,-105,2019-07-09 08:40:24
2739,1,-146,82,-113,2019-07-09 08:40:24
2740,1,-144,176,-84,2019-07-09 08:40:24
2741,1,-100,93,-102,2019-07-09 08:40:24
2742,1,-134,77,-63,2019-07-09 08:40:24
2743,1,-102,20,-69,2019-07-09 08:40:24
2744,1,-58,-62,-50,2019-07-09 08:40:25
2745,1,-56,29,-51,2019-07-09 08:40:25
2746,1,-132,-10,-99,2019-07-09 08:40:25
2747,1,-116,2,-11,2019-07-09 08:40:25
2748,1,-43,-87,-89,2019-07-09 08:40:25
2749,1,-82,-15,-142,2019-07-09 08:40:25
2750,1,-59,155,-97,2019-07-09 08:40:27
2751,1,-59,155,-97,2019-07-09 08:40:27
2752,1,-59,155,-97,2019-07-09 08:40:27
2753,1,-88,117,-104,2019-07-09 08:40:27
2754,1,-88,117,-104,2019-07-09 08:40:27
2755,1,-120,-4,-75,2019-07-09 08:40:27
2756,1,-120,-4,-75,2019-07-09 08:40:27
2757,1,-135,-203,-113,2019-07-09 08:40:27
2758,1,-135,-203,-113,2019-07-09 08:40:27
2759,1,-74,-354,-62,2019-07-09 08:40:27
2760,1,-74,-354,-62,2019-07-09 08:40:27
2761,1,-107,-335,-90,2019-07-09 08:40:27
2762,1,-107,-335,-90,2019-07-09 08:40:27
2763,1,-107,-79,-104,2019-07-09 08:40:27
2764,1,-116,-203,-104,2019-07-09 08:40:27
2765,1,-116,-203,-104,2019-07-09 08:40:27
2766,1,-115,-15,-111,2019-07-09 08:40:27
2767,1,-115,-15,-111,2019-07-09 08:40:27
2768,1,-65,135,-73,2019-07-09 08:40:27
2769,1,-65,135,-73,2019-07-09 08:40:27
2770,1,-33,201,-105,2019-07-09 08:40:27
2771,1,-33,201,-105,2019-07-09 08:40:27
2772,1,-112,161,-102,2019-07-09 08:40:27
2773,1,-112,161,-102,2019-07-09 08:40:27
2774,1,-20,36,-66,2019-07-09 08:40:28
2775,1,-134,79,-75,2019-07-09 08:40:28
2776,1,-114,121,-104,2019-07-09 08:40:28
2777,1,-122,88,-90,2019-07-09 08:40:28
2778,1,-94,17,-141,2019-07-09 08:40:28
2779,1,-102,-106,-137,2019-07-09 08:40:28
2780,1,-39,25,-46,2019-07-09 08:40:28
